inoc,sal,trait,mit
C1-3,150,root,70.87378640776699
C1-5,50,root,-40.39408866995073
C1-5,100,root,-14.958448753462605
C1-5,150,root,-1.4563106796116625
C2-3,50,root,-0.7389162561576198
C2-3,100,root,-30.747922437673125
C2-3,150,root,85.92233009708737
C2-5,50,root,-31.034482758620683
C2-5,100,root,-5.817174515235457
C2-5,150,root,96.11650485436894
C4-5,50,root,33.99014778325126
C4-5,100,root,11.911357340720226
C4-5,150,root,108.7378640776699
C1-3,50,shoot,4.761904761904762
C1-3,100,shoot,6.315789473684206
C1-3,150,shoot,42.44604316546763
C1-5,50,shoot,14.285714285714285
C1-5,100,shoot,15.789473684210526
C1-5,150,shoot,66.18705035971225
C2-3,50,shoot,0.0
C2-3,100,shoot,-12.999999999999995
C2-3,150,shoot,14.388489208633093
C2-5,50,shoot,-3.33333333333333
C2-5,100,shoot,22.631578947368425
C2-5,150,shoot,51.07913669064747
C4-5,50,shoot,19.047619047619047
C4-5,100,shoot,25.789473684210517
C4-5,150,shoot,79.85611510791367
C1-3,50,svi,-6.650704974727328
C1-3,100,svi,7.879256965944304
C1-3,150,svi,62.35032024505707
C1-5,50,svi,5.426975259377515
C1-5,100,svi,10.880141530296331
C1-5,150,svi,48.7085769980507
C2-3,50,svi,8.203644586326163
C2-3,100,svi,-3.208757187085324
C2-3,150,svi,3.017961570593147
C2-5,50,svi,-3.9804469273742886
C2-5,100,svi,29.898275099513498
C2-5,150,svi,83.04093567251462
C4-5,50,svi,41.71322160148976
C4-5,100,svi,48.288367978770474
C4-5,150,svi,134.57950431634643
C1-3,50,chla,-37.0
C1-3,100,chla,-36.36363636363637
C1-3,150,chla,-37.81818181818182
C1-5,50,chla,-20.0
C1-5,100,chla,-13.636363636363647
C1-5,150,chla,-16.36363636363637
C2-3,50,chla,-9.000000000000004
C2-3,100,chla,-46.59090909090909
C2-3,150,chla,-60.54545454545455
C2-5,50,chla,63.000000000000014
C2-5,100,chla,76.13636363636363
C2-5,150,chla,129.09090909090907
C4-5,50,chla,106.0
C4-5,100,chla,101.1363636363636
C4-5,150,chla,183.63636363636363
C1-3,50,car,-72.22222222222221
C1-3,100,car,-31.250000000000007
C1-3,150,car,-52.38095238095239
C1-5,50,car,22.222222222222225
C1-5,100,car,-15.625000000000004
C1-5,150,car,-4.761904761904765
C2-3,50,car,88.88888888888891
C2-3,100,car,9.375000000000009
C2-3,150,car,28.571428571428566
C2-5,50,car,122.22222222222226
C2-5,100,car,18.749999999999993
C2-5,150,car,47.61904761904761
C4-5,50,car,216.66666666666674
C4-5,100,car,37.499999999999986
C4-5,150,car,166.66666666666669
C1-3,50,protein,36.0134881978269
C1-3,100,protein,55.12330338367424
C1-3,150,protein,50.661669984775735
C1-5,50,protein,46.819033345822426
C1-5,100,protein,73.49455171095391
C1-5,150,protein,56.282937112073995
C2-3,50,protein,50.42337954289998
C2-3,100,protein,78.09214299369144
C2-3,150,protein,61.915915212554154
C2-5,50,protein,54.02023229674035
C2-5,100,protein,82.68017587459376
C2-5,150,protein,90.05738376859117
C4-5,50,protein,61.22143124765832
C4-5,100,protein,91.87535844006882
C4-5,150,protein,112.565874224148
C1-3,50,sugar,27.992390986245237
C1-3,100,sugar,53.017679333468806
C1-3,150,sugar,92.86836317939053
C1-5,50,sugar,33.069944395668706
C1-5,100,sugar,56.533224954277586
C1-5,150,sugar,98.30348727615458
C2-3,50,sugar,38.16213052385133
C2-3,100,sugar,60.069091648039006
C2-3,150,sugar,103.77002827521207
C2-5,50,sugar,40.708223587942626
C2-5,100,sugar,63.604958341800454
C2-5,150,sugar,109.23656927426954
C4-5,50,sugar,45.80040971612525
C4-5,100,sugar,67.14082503556187
C4-5,150,sugar,120.16965127238454
C1-3,50,dpph,-16.97530864197531
C1-3,100,dpph,-55.975609756097555
C1-3,150,dpph,1.4306151645207437
C1-5,50,dpph,0.15432098765433416
C1-5,100,dpph,-20.121951219512198
C1-5,150,dpph,9.585121602288966
C2-3,50,dpph,-7.25308641975308
C2-3,100,dpph,-12.926829268292675
C2-3,150,dpph,15.879828326180249
C2-5,50,dpph,10.1851851851852
C2-5,100,dpph,-16.951219512195127
C2-5,150,dpph,18.311874105865517
C4-5,50,dpph,15.432098765432102
C4-5,100,dpph,-11.341463414634143
C4-5,150,dpph,21.030042918454917
