exp,inoc,sal,trait,mean,sd
con,C1-5,50,shoot_cm,24.0,0.01
con,C1-5,50,SVI_reported,1056.8,15.2
con,C2-3,50,germ_n,26.0,
con,C2-3,50,seeds,30.0,
con,C2-3,50,root_cm,4.03,0.04
con,C2-3,50,shoot_cm,21.0,10.9
con,C2-3,50,SVI_reported,1088.8,11.9
con,C2-5,50,germ_n,25.0,
con,C2-5,50,seeds,30.0,
con,C2-5,50,root_cm,2.8,0.1
con,C2-5,50,shoot_cm,20.3,0.59
con,C2-5,50,SVI_reported,958.65,12.3
con,C4-5,50,germ_n,28.0,
con,C4-5,50,seeds,30.0,
con,C4-5,50,root_cm,5.44,0.12
con,C4-5,50,shoot_cm,25.0,13.0
con,C4-5,50,SVI_reported,1415.4,13.8
con,Control,100,germ_n,20.0,
con,Control,100,seeds,30.0,
con,Control,100,root_cm,3.61,0.1
con,Control,100,shoot_cm,19.0,0.01
con,Control,100,SVI_reported,745.8,10.8
con,C1-3,100,germ_n,21.0,
con,C1-3,100,seeds,30.0,
con,C1-3,100,root_cm,3.03,0.03
con,C1-3,100,shoot_cm,20.2,10.2
con,C1-3,100,SVI_reported,813.05,12.1
con,C1-5,100,germ_n,20.0,
con,C1-5,100,seeds,30.0,
con,C1-5,100,root_cm,3.07,0.74
con,C1-5,100,shoot_cm,22.0,11.4
con,C1-5,100,SVI_reported,839.84,13.3
con,C2-3,100,germ_n,23.0,
con,C2-3,100,seeds,30.0,
con,C2-3,100,root_cm,2.5,0.0
con,C2-3,100,shoot_cm,16.53,8.8
con,C2-3,100,SVI_reported,732.6,9.92
con,C2-5,100,germ_n,22.0,
con,C2-5,100,seeds,30.0,
con,C2-5,100,root_cm,3.4,0.1
con,C2-5,100,shoot_cm,23.3,11.9
con,C2-5,100,SVI_reported,974.55,14.0
con,C4-5,100,germ_n,24.0,
con,C4-5,100,seeds,30.0,
con,C4-5,100,root_cm,4.04,0.03
con,C4-5,100,shoot_cm,23.9,0.05
con,C4-5,100,SVI_reported,638.4,8.37
con,Control,150,germ_n,18.0,
con,Control,150,seeds,30.0,
